module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs
BMad ML Research & AI Engineering,ml-setup,Setup ML Module,SM,Install or update BMad ML module config and help entries.,configure,{-H: headless mode}|{inline values},anytime,,,false,{project-root}/_bmad,config files
BMad ML Research & AI Engineering,bmad-ml-nosh,Nosh Orchestrator,NO,Shared orchestrator for AI Lab routing and lifecycle coordination.,,,anytime,,,false,,routing decisions
BMad ML Research & AI Engineering,bmad-ml-onboard-lab,Onboard ML Project,OB,Scan an existing ML project and generate context artifacts.,,,1-analysis,,,true,planning_artifacts,project-context and status artifacts
BMad ML Research & AI Engineering,bmad-ml-research-party,Research Party,RP,Run a multi-agent research discussion for topic synthesis.,,,1-analysis,,,false,planning_artifacts,research-party-brief
BMad ML Research & AI Engineering,bmad-ml-lab-meeting,Lab Meeting,LM,Run an AI Lab division meeting (research + build, no Startup agents).,,,anytime,,,false,planning_artifacts,lab-meeting-notes
BMad ML Research & AI Engineering,bmad-ml-startup-meeting,Startup Meeting,ST,Run an AI Startup division meeting (seven Startup agents, no Lab agents).,,,anytime,,,false,planning_artifacts,startup-meeting-notes
BMad ML Research & AI Engineering,bmad-ml-all-hands,All-Hands Meeting,AH,Run a cross-division all-hands with BOTH AI Lab and AI Startup agents.,,,anytime,,,false,planning_artifacts,all-hands-notes
BMad ML Research & AI Engineering,bmad-ml-literature-review,Literature Review,LR,Create or iterate literature review artifact.,,,1-analysis,,,false,planning_artifacts,literature-review
BMad ML Research & AI Engineering,bmad-ml-dataset-discovery,Dataset Discovery,DD,Create or iterate dataset assessment and comparisons.,,,1-analysis,,,false,planning_artifacts,dataset-assessment
BMad ML Research & AI Engineering,bmad-ml-feasibility-study,Feasibility Study,FS,Assess technical feasibility and risk profile.,,,1-analysis,,,false,planning_artifacts,feasibility-report
BMad ML Research & AI Engineering,bmad-ml-problem-formulation,Problem Formulation,PF,Define or refine problem statement and hypotheses.,,,1-analysis,,,false,planning_artifacts,problem-statement
BMad ML Research & AI Engineering,bmad-ml-experiment-design,Experiment Design,ED,Create or iterate experiment-design.md.,,,2-design,,,true,planning_artifacts,experiment-design
BMad ML Research & AI Engineering,bmad-ml-evaluation-criteria,Evaluation Criteria,EC,Define evaluation criteria and acceptance thresholds.,,,2-design,bmad-ml-experiment-design,,false,planning_artifacts,evaluation criteria
BMad ML Research & AI Engineering,bmad-ml-model-architecture,Model Architecture,MA,Create or iterate model architecture decisions and ADRs.,,,3-architecture,,,true,planning_artifacts,model-architecture
BMad ML Research & AI Engineering,bmad-ml-training-pipeline,Training Pipeline,TP,Design and iterate training-pipeline.md.,,,3-architecture,bmad-ml-model-architecture,,false,planning_artifacts,training-pipeline
BMad ML Research & AI Engineering,bmad-ml-readiness-check,Readiness Check,IR,Assess implementation readiness before experimentation.,,,3-architecture,bmad-ml-training-pipeline,,false,planning_artifacts,readiness status
BMad ML Research & AI Engineering,bmad-ml-implement-experiment,Implement Experiment,IE,Implement experiment code and tests from approved design.,,,4-experimentation,bmad-ml-readiness-check,,true,experiment_artifacts,code and tests
BMad ML Research & AI Engineering,bmad-ml-quick-experiment,Quick Experiment,QE,Run a fast experiment flow with lightweight spec and implementation.,,,4-experimentation,,,false,experiment_artifacts,spec and code
BMad ML Research & AI Engineering,bmad-ml-results-analysis,Results Analysis,RA,Analyze results and produce comparable reporting artifact.,,,4-experimentation,bmad-ml-implement-experiment,,false,planning_artifacts,results-report
BMad ML Research & AI Engineering,bmad-ml-model-optimization,Model Optimization,MO,Optimize model quality and efficiency over iterations.,,,4-experimentation,bmad-ml-results-analysis,,false,experiment_artifacts,optimized model and report
BMad ML Research & AI Engineering,bmad-ml-code-review,Code Review,CR,Perform standard implementation review and reproducibility checks.,,,4-experimentation,bmad-ml-implement-experiment,,false,planning_artifacts,review decision
BMad ML Research & AI Engineering,bmad-ml-adversarial-review,Adversarial Review,AR,Stress-test claims and challenge weak conclusions.,,,4-experimentation,bmad-ml-results-analysis,,false,planning_artifacts,adversarial findings
BMad ML Research & AI Engineering,bmad-ml-experiment-tracking,Experiment Tracking,ET,Update and manage experiment-status.yaml tracking artifact.,,,4-experimentation,,,false,experiment_artifacts,experiment-status
BMad ML Research & AI Engineering,bmad-ml-onboard-startup,Onboard AI Product,OS,Scan existing AI project and generate startup context artifacts.,,,startup-onboarding,,,true,planning_artifacts,project-context and startup status artifacts
BMad ML Research & AI Engineering,bmad-ml-ai-product-brief,AI Product Brief,AB,Create or iterate the AI Startup PRD-equivalent for stakeholder alignment.,,,1-product-discovery,bmad-ml-onboard-startup,,true,planning_artifacts,ai-product-brief
BMad ML Research & AI Engineering,bmad-ml-ai-system-architecture,AI System Architecture,AA,Design or iterate end-to-end AI system architecture from the approved product brief.,,,2-ai-system-design,bmad-ml-ai-product-brief,,true,planning_artifacts,ai-architecture
BMad ML Research & AI Engineering,bmad-ml-rag-pipeline,RAG Pipeline Design,RG,Design retrieval pipeline including indexing retrieval and reranking.,,,2-ai-system-design,bmad-ml-ai-system-architecture,,false,planning_artifacts,rag-design
BMad ML Research & AI Engineering,bmad-ml-agent-system,Agent System Design,AS,Design multi-agent system roles orchestration and coordination.,,,2-ai-system-design,bmad-ml-ai-system-architecture,,false,planning_artifacts,agent-system-design
BMad ML Research & AI Engineering,bmad-ml-prompt-engineering,Prompt Engineering,PE,Design prompt strategy templates and iteration plan.,,,2-ai-system-design,bmad-ml-ai-system-architecture,,false,planning_artifacts,prompt-spec
BMad ML Research & AI Engineering,bmad-ml-agent-behavior-spec,Agent Behavior Spec,BS,Define behavior contract guardrails and response boundaries.,,,2-ai-system-design,bmad-ml-agent-system,,false,planning_artifacts,agent-behavior-spec
BMad ML Research & AI Engineering,bmad-ml-tool-calling-design,Tool Calling Design,TC,Define tool schemas contracts and invocation safety rules.,,,2-ai-system-design,bmad-ml-agent-system,,false,planning_artifacts,tool-schemas
BMad ML Research & AI Engineering,bmad-ml-ai-ux-design,AI UX Design,UX,Design AI interaction patterns and user experience safeguards.,,,2-ai-system-design,bmad-ml-ai-system-architecture,,false,planning_artifacts,ai-ux-spec
BMad ML Research & AI Engineering,bmad-ml-data-integration,Data Integration Design,DI,Design data ingestion and integration architecture.,,,2-ai-system-design,bmad-ml-ai-system-architecture,,false,planning_artifacts,data-integration
BMad ML Research & AI Engineering,bmad-ml-guardrails-design,Guardrails Design,GD,Design safety guardrails refusal policy and mitigation controls.,,,2-ai-system-design,bmad-ml-ai-system-architecture,,false,planning_artifacts,guardrails-spec
BMad ML Research & AI Engineering,bmad-ml-ai-readiness-check,AI Readiness Check,RC,Assess readiness before moving from design to implementation.,,,2-ai-system-design,bmad-ml-guardrails-design,,true,planning_artifacts,ai-readiness-check
BMad ML Research & AI Engineering,bmad-ml-build-llm-app,Build LLM App,BA,Implement LLM application features from approved architecture and sprint plan.,,,3-implementation,bmad-ml-ai-sprint,,false,experiment_artifacts,llm-app implementation notes
BMad ML Research & AI Engineering,bmad-ml-fine-tuning,Fine-Tuning Pipeline,FT,Build and iterate fine-tuning workflow from the approved sprint plan with evaluation checkpoints.,,,3-implementation,bmad-ml-ai-sprint,,false,experiment_artifacts,fine-tuning report
BMad ML Research & AI Engineering,bmad-ml-ai-implement,AI System Implementation,AI,Implement multi-component AI system functionality and integration from the approved sprint plan.,,,3-implementation,bmad-ml-ai-sprint,,true,experiment_artifacts,ai implementation notes
BMad ML Research & AI Engineering,bmad-ml-embedding-pipeline,Embedding Pipeline,EP,Implement embedding generation refresh and quality controls.,,,3-implementation,bmad-ml-data-integration,,false,experiment_artifacts,embedding-pipeline
BMad ML Research & AI Engineering,bmad-ml-vector-db-setup,Vector DB Setup,VS,Configure vector database indexes retrieval and operations.,,,3-implementation,bmad-ml-embedding-pipeline,,false,experiment_artifacts,vector-db setup
BMad ML Research & AI Engineering,bmad-ml-doc-processing,Doc Processing Pipeline,DC,Implement document ingestion chunking and processing pipeline.,,,3-implementation,bmad-ml-data-integration,,false,experiment_artifacts,doc-processing pipeline
BMad ML Research & AI Engineering,bmad-ml-quick-ai-prototype,Quick AI Prototype,QP,Build time-boxed prototype for rapid capability validation.,,,3-implementation,bmad-ml-ai-product-brief,,false,experiment_artifacts,quick-ai prototype
BMad ML Research & AI Engineering,bmad-ml-ai-deploy,AI Deployment,AD,Deploy AI system with runbook rollback and release controls.,,,4-deployment-eval,bmad-ml-ai-implement,,true,experiment_artifacts,deployment runbook
BMad ML Research & AI Engineering,bmad-ml-ai-monitoring,AI Monitoring Setup,MN,Set up runtime monitoring dashboards and alerting.,,,4-deployment-eval,bmad-ml-ai-deploy,,false,experiment_artifacts,monitoring plan
BMad ML Research & AI Engineering,bmad-ml-ai-cicd,CI/CD for AI,CD,Design CI/CD pipeline for AI artifacts and prompts.,,,4-deployment-eval,bmad-ml-ai-deploy,,false,experiment_artifacts,ai-cicd pipeline
BMad ML Research & AI Engineering,bmad-ml-ai-scaling,AI Scaling Strategy,SC,Define scaling strategy for latency throughput and cost.,,,4-deployment-eval,bmad-ml-ai-monitoring,,false,experiment_artifacts,ai-scaling plan
BMad ML Research & AI Engineering,bmad-ml-ai-evaluation,AI Evaluation,AE,Run AI quality evaluation and baseline comparison.,,,4-deployment-eval,bmad-ml-ai-deploy,,false,planning_artifacts,evaluation-report
BMad ML Research & AI Engineering,bmad-ml-ai-regression-tests,AI Regression Tests,RT,Create and maintain AI regression test suite.,,,4-deployment-eval,bmad-ml-ai-implement,,false,experiment_artifacts,regression tests
BMad ML Research & AI Engineering,bmad-ml-eval-framework,Eval Framework Design,EF,Define reusable evaluation framework and methodology.,,,4-deployment-eval,bmad-ml-ai-evaluation,,false,planning_artifacts,eval-framework
BMad ML Research & AI Engineering,bmad-ml-quality-gates,Quality Gates,QG,Define quality gate thresholds and release criteria.,,,4-deployment-eval,bmad-ml-ai-evaluation,,false,planning_artifacts,quality-gates
BMad ML Research & AI Engineering,bmad-ml-ai-safety-audit,AI Safety Audit,AU,Run safety audit and produce risk-ranked findings.,,,4-deployment-eval,bmad-ml-ai-deploy,,false,planning_artifacts,safety-audit-report
BMad ML Research & AI Engineering,bmad-ml-prompt-injection-test,Prompt Injection Test,PI,Test prompt injection resistance and remediation priorities.,,,4-deployment-eval,bmad-ml-ai-safety-audit,,false,planning_artifacts,prompt-injection report
BMad ML Research & AI Engineering,bmad-ml-red-team,Red Team Exercise,RE,Run red-team adversarial testing across abuse scenarios.,,,4-deployment-eval,bmad-ml-ai-safety-audit,,false,planning_artifacts,red-team report
BMad ML Research & AI Engineering,bmad-ml-ai-product-review,AI Product Review,PR,Review AI product release readiness and decision status.,,,4-deployment-eval,bmad-ml-quality-gates,,true,planning_artifacts,ai-product-review
BMad ML Research & AI Engineering,bmad-ml-ai-sprint,AI Product Sprint,SP,Break approved AI design into a sprint plan and track progress risks and next actions.,,,3-implementation,bmad-ml-ai-readiness-check,bmad-ml-build-llm-app,false,planning_artifacts,ai-sprint-status
